element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Type	
Na	8	"59.101"	"2.53e+10"	"2.21e-02"	D		
Na	8	"59.193"	"2.84e+10"	"2.49e-02"	D		
Na	8	"59.204"	"3.79e+10"	"2.79e-02"	D+		
Na	8	"59.249"	"9.44e+09"	"4.97e-03"	E		
K	19	"59.69274"	"9.52e+09"	"5.09e-03"	AA		
K	19	"59.70119"	"3.72e+10"	"1.99e-02"	AA		
Na	8	"59.759"	"8.47e+10"	"1.36e-01"	D+		
K	19	"59.90853"	"1.96e+10"	"5.27e-03"	AA		
K	19	"59.909487"	"7.39e+09"	"1.99e-03"	AA		
Na	8	"59.962"	"1.38e+10"	"2.23e-02"	E		
Na	8	"59.992"	"1.03e+10"	"5.57e-03"	E		
Na	8	"60.002"	"1.03e+10"	"9.29e-03"	E		
Na	8	"60.043"	"1.72e+10"	"5.57e-03"	E		
Na	8	"60.053"	"3.09e+10"	"1.67e-02"	D		
Na	8	"60.073"	"8.15e+10"	"6.17e-02"	D+		
Na	10	"60.6690"	"2.26e+11"	"2.08e-01"	A		
Na	10	"60.6951"	"2.26e+11"	"1.25e-01"	A		
Na	10	"60.7013"	"2.26e+11"	"4.16e-02"	A		
Na	8	"61.088"	"1.01e+11"	"7.90e-02"	C		
Na	8	"61.347"	"2.66e+10"	"1.50e-02"	D		
Na	8	"62.276"	"5.28e+10"	"5.12e-02"	D+		
Na	8	"63.114"	"5.04e+10"	"5.02e-02"	D+		
Na	7	"63.142"	"1.65e+10"	"1.97e-02"	D+		
Na	7	"63.227"	"3.29e+09"	"1.97e-03"	D		
Na	7	"63.227"	"1.97e+10"	"1.77e-02"	D+		
Na	7	"63.357"	"4.82e+09"	"5.80e-03"	D		
Na	7	"63.357"	"1.93e+10"	"1.16e-02"	D		
Na	7	"63.443"	"2.40e+10"	"1.45e-02"	D+		
Na	7	"63.443"	"9.61e+09"	"2.90e-03"	D		
Na	10	"63.5218"	"3.72e+11"	"6.75e-01"	A		
Na	10	"63.5422"	"5.02e+11"	"5.06e-01"	A		
Na	10	"63.5430"	"2.79e+11"	"1.69e-01"	A		
Na	10	"63.5704"	"2.16e+11"	"3.92e-01"	A		
Na	10	"63.6290"	"6.66e+11"	"5.66e-01"	A		
Na	10	"63.6395"	"1.66e+11"	"1.01e-01"	A		
Na	10	"63.6403"	"1.85e+10"	"6.74e-03"	A		
Na	8	"63.695"	"4.59e+10"	"2.79e-02"	D		
Na	7	"64.025"	"1.05e+10"	"1.29e-02"	D+		
Na	7	"64.113"	"1.25e+10"	"1.16e-02"	D+		
Na	7	"64.113"	"2.09e+09"	"1.29e-03"	E		
Na	8	"64.206"	"7.17e+10"	"1.33e-01"	D+		
Na	8	"64.236"	"9.64e+10"	"9.94e-02"	D+		
Na	8	"64.236"	"5.35e+10"	"3.31e-02"	D		
Na	8	"64.302"	"3.55e+09"	"1.32e-03"	E		
Na	8	"64.302"	"1.28e+11"	"1.11e-01"	C		
Na	8	"64.302"	"3.21e+10"	"1.99e-02"	D		
K	17	"64.53"	"1.08e+09"	"1.01e-03"			
K	17	"64.68"	"1.16e+12"	"9.70e-01"			
Na	7	"64.828"	"1.40e+10"	"1.77e-02"	D+		
Na	7	"64.828"	"2.81e+10"	"1.77e-02"	D+		
Na	7	"64.859"	"2.36e+10"	"2.23e-02"	C		
Na	7	"64.859"	"1.79e+10"	"1.13e-02"	D+		
Na	7	"64.859"	"5.61e+09"	"1.77e-03"	D		
Na	7	"64.904"	"1.01e+10"	"6.37e-03"	D+		
Na	7	"64.904"	"3.36e+10"	"2.83e-02"	C		
Na	7	"64.904"	"1.68e+09"	"7.08e-04"	E		
Na	10	"65.0804"	"9.40e+09"	"1.79e-02"	A		
Na	10	"65.1026"	"2.82e+10"	"1.79e-02"	A		
Na	10	"65.2048"	"4.68e+10"	"1.79e-02"	A		
Na	7	"65.311"	"9.54e+09"	"1.22e-02"	D+		
Na	7	"65.342"	"1.22e+10"	"7.81e-03"	D+		
Na	7	"65.342"	"1.60e+10"	"1.54e-02"	D+		
Na	7	"65.383"	"1.97e+10"	"2.52e-02"	D+		
Na	7	"65.388"	"1.14e+09"	"4.88e-04"	E		
Na	7	"65.388"	"2.28e+10"	"1.95e-02"	C		
Na	7	"65.388"	"6.85e+09"	"4.39e-03"	D+		
Na	7	"65.474"	"3.92e+09"	"2.52e-03"	D		
Na	7	"65.474"	"2.35e+10"	"2.27e-02"	C		
Na	8	"66.062"	"1.66e+10"	"3.26e-02"	C		
Na	10	"66.2805"	"6.39e+11"	"7.01e-01"	A		
Na	8	"66.321"	"2.42e+10"	"4.79e-02"	D		
Na	8	"66.358"	"1.82e+10"	"1.20e-02"	D		
Na	8	"66.370"	"1.81e+10"	"1.99e-02"	D		
Na	8	"66.420"	"3.02e+10"	"1.20e-02"	D		
